Time,Code,Name,Strategy,Reason,Buy_Price,Sell_Price,Qty,Profit_Rate(%),Hold_Min(분),Max_Price_During_Hold,Min_Price_During_Hold,Entry_PG_Amt,Max_PG_Amt_During_Hold,Exit_PG_Amt
2026-01-15 10:02:21,222800,심텍,PROGRAM,"🎢트레일링 스탑
기준: 50,600원
최고: 4.2% / 현재: 2.0%
이격정상 (Gap: 2%)",50600.0,51600.0,23,1.98,33,52700,50600,6234932000,16184862200,15739032000
2026-01-15 10:22:07,097230,HJ중공업,PROGRAM,📉본전 이탈(익절 후 반납),26300.0,26350.0,43,0.19,53,27050,26250,5330536600,14098048800,14071347950
2026-01-15 10:35:55,329180,HD현대중공업,MORNING,📉손절선 이탈(-2.04%),638000.0,625000.0,3,-2.04,89,642000,625000,4256736000,9858568000,9400000000
2026-01-15 11:11:05,010140,삼성중공업,PROGRAM,장 마감(Time-Cut),29921.428571428572,29650.0,154,-0.91,117,30350,29500,11661048500,59372664900,58152604300
2026-01-15 11:11:07,277810,레인보우로보틱스,PROGRAM,장 마감(Time-Cut),491500.0,518000.0,3,5.39,90,518000,474000,20422822500,89275043000,89040056000
2026-01-15 11:11:08,353200,대덕전자,PROGRAM,장 마감(Time-Cut),50300.0,49900.0,45,-0.8,71,50600,49350,20537540300,25002555300,24150801600
2026-01-15 12:57:16,277810,레인보우로보틱스,PROGRAM,📉손절선 이탈(-2.12%),518000.0,508000.0,4,-1.93,72,522000,507000,102411708000,118019004000,116639848000
2026-01-15 15:15:09,058610,에스피지,PROGRAM,장 마감(Time-Cut),95700.0,96700.0,12,1.04,106,98400,95400,30435183900,34274374200,33745689100
2026-01-15 15:15:10,108490,로보티즈,PROGRAM,장 마감(Time-Cut),270500.0,270000.0,8,-0.18,105,272000,267000,31936041500,36182970000,36182970000
2026-01-15 15:15:12,277810,레인보우로보틱스,PROGRAM,장 마감(Time-Cut),517500.0,517000.0,8,-0.1,59,522000,515000,134404584000,151236316000,150944354000
2026-01-16 09:09:31,004310,현대약품,RECOVERED,📉본전 이탈(익절 후 반납),12500.0,12460.0,92,-0.32,3,12900,12300,1720962500,1774471900,-715677480
2026-01-16 09:15:32,437730,삼현,PROGRAM,📉손절선 이탈(-2.11%),75800.0,74100.0,30,-2.24,1,76900,74200,10009162600,10445403900,9127638000
2026-01-16 09:23:47,032830,삼성생명,PROGRAM,📉손절선 이탈(-2.06%),174800.0,171400.0,13,-1.95,10,176400,171200,10036666400,11101204800,10010102800
2026-01-16 09:52:58,000810,삼성화재,PROGRAM,📉손절선 이탈(-2.26%),509000.0,501000.0,4,-1.57,17,513000,497500,20388504000,24038036000,23742390000
